SEQN,SDDSRVYR,RIDSTATR,RIAGENDR,RIDAGEYR,RIDAGEMN,RIDRETH1,RIDRETH3,RIDEXMON,RIDEXAGM,DMQMILIZ,DMQADFC,DMDBORN4,DMDCITZN,DMDYRSUS,DMDEDUC3,DMDEDUC2,DMDMARTL,RIDEXPRG,SIALANG,SIAPROXY,SIAINTRP,FIALANG,FIAPROXY,FIAINTRP,MIALANG,MIAPROXY,MIAINTRP,AIALANGA,DMDHHSIZ,DMDFMSIZ,DMDHHSZA,DMDHHSZB,DMDHHSZE,DMDHRGND,DMDHRAGZ,DMDHREDZ,DMDHRMAZ,DMDHSEDZ,WTINT2YR,WTMEC2YR,SDMVPSU,SDMVSTRA,INDHHIN2,INDFMIN2,INDFMPIR,gender_f,edu_f,language_f
97293,10,2,2,27,.,1,1,2,.,2,.,2,2,2,.,5,1,2,2,2,2,2,2,2,2,2,1,2,4,4,2,0,0,1,2,3,1,3,47457.61936383686,49882.9706496902,2,147,6,6,1.2,Female,College,Spanish
97294,10,2,1,0,9,3,3,1,9,.,.,1,1,.,.,.,.,.,1,1,2,1,2,2,.,.,.,.,5,5,1,1,0,2,3,3,1,2,8448.567975424925,8899.78013108855,1,140,14,14,3.41,Male,College,English
97295,10,2,2,2,.,1,1,1,32,.,.,1,1,.,.,.,.,.,2,1,2,1,2,2,.,.,.,.,4,4,1,0,0,2,3,1,1,1,19017.94254256947,20701.086454719272,2,144,2,2,0.29,Female,<HS,Spanish
97296,10,2,1,2,.,3,3,2,27,.,.,1,1,.,.,.,.,.,1,1,2,1,2,2,.,.,.,.,3,3,1,0,0,1,2,2,1,2,25238.960579420975,27749.011838360104,1,135,10,10,3.43,Male,HS,English
97297,10,2,2,62,.,1,1,1,.,2,.,2,2,99,.,1,1,.,2,2,2,2,2,2,2,2,1,2,4,4,0,0,2,2,2,2,3,.,7113.456046122135,7549.242208815665,2,144,13,13,.,Female,HS,Spanish
97298,10,2,2,14,.,1,1,1,170,.,.,1,1,.,7,.,.,.,2,1,2,2,2,2,1,2,2,1,7,7,0,3,2,1,3,1,1,2,21359.89824298858,23183.427115624614,2,141,14,14,1.78,Female,<HS,Spanish
97299,10,2,1,59,.,3,3,1,.,2,.,1,1,.,.,5,5,.,1,2,2,1,2,2,1,2,2,1,1,1,0,0,0,1,3,3,3,.,195860.40409749758,204386.21880628922,2,140,6,6,2.47,Male,College,English
97300,10,2,1,0,0,1,1,1,1,.,.,1,1,.,.,.,.,.,1,1,2,1,2,2,.,.,.,.,7,5,1,2,0,2,3,.,1,.,5358.5591120904965,5529.763450102142,2,140,3,3,0.41,Male,.,English
97301,10,2,1,64,.,4,4,1,.,2,.,1,1,.,.,5,1,.,1,2,2,1,2,2,.,.,.,.,3,3,0,1,1,2,3,3,1,3,14571.112256298955,15245.143948707084,1,136,6,6,1.22,Male,College,English
97302,10,2,1,12,.,3,3,2,144,.,.,1,1,.,5,.,.,.,1,1,2,1,2,2,1,2,2,1,3,3,0,1,0,2,3,2,.,.,28950.323807169054,29312.477462359016,2,143,4,4,0.89,Male,HS,English
